DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;;;;;;;;
Casos Prováveis por Município infecção e Mês 1º Sintoma(s);;;;;;;;;;;;;;
Período:2015;;;;;;;;;;;;;;
Município infecção;Ign/Em Branco;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
313010 Igarapé;-;-;-;-;-;-;1;-;-;-;-;-;-;1
313060 Inconfidentes;-;-;-;1;-;-;-;-;-;-;-;-;-;1
313230 Itaipé;-;1;-;-;-;-;-;-;-;-;-;-;-;1
313240 Itajubá;-;-;-;2;6;1;1;-;-;-;-;-;-;10
313310 Itanhandu;-;1;2;1;-;-;-;-;-;-;-;-;-;4
313360 Itapeva;-;-;-;-;-;-;-;-;1;-;-;-;-;1
313375 Itaú de Minas;-;-;1;-;-;-;-;-;-;-;-;-;-;1
313440 Iturama;-;-;-;-;-;2;-;-;-;-;-;-;-;2
313610 Joanésia;-;-;-;-;-;-;-;-;-;-;-;-;1;1
313670 Juiz de Fora;-;-;-;2;-;-;-;-;-;-;-;-;-;2
313720 Lagoa da Prata;-;1;-;-;1;-;-;-;-;-;-;-;-;2
313820 Lavras;-;-;1;2;1;1;-;-;-;-;-;-;-;5
313860 Lima Duarte;-;-;-;1;-;-;-;-;-;-;-;-;-;1
313862 Limeira do Oeste;-;-;-;1;-;-;-;-;-;1;-;-;-;2
313868 Luislândia;-;-;-;-;-;-;-;-;-;-;-;1;-;1
313900 Machado;-;-;1;-;2;-;-;-;-;-;-;-;-;3
314000 Mariana;-;-;-;-;-;-;-;-;-;-;-;-;1;1
314100 Mato Verde;-;-;-;-;1;-;-;-;-;-;-;-;-;1
314110 Matozinhos;-;-;1;-;-;-;-;-;-;-;-;-;-;1
314160 Mercês;-;-;-;-;-;-;-;1;-;-;-;-;-;1
314290 Monte Azul;-;-;1;-;-;-;-;-;-;-;-;-;-;1
314310 Monte Carmelo;-;-;-;-;1;-;-;-;-;-;-;-;-;1
314340 Monte Sião;-;-;2;1;2;-;-;-;-;-;-;1;-;6
314330 Montes Claros;-;-;-;-;1;-;-;-;-;-;-;-;-;1
314380 Munhoz;-;-;-;1;-;-;-;-;-;-;-;-;-;1
314390 Muriaé;-;-;-;1;-;-;-;-;-;-;-;-;1;2
314410 Muzambinho;-;-;3;1;1;-;-;-;-;-;-;-;-;5
314510 Nova Resende;-;-;-;-;-;1;-;-;-;-;-;-;-;1
314520 Nova Serrana;-;-;-;1;-;-;-;-;-;-;-;-;-;1
314550 Olímpio Noronha;-;-;-;-;1;-;-;-;-;-;-;-;-;1
314560 Oliveira;-;-;-;-;1;-;-;-;-;-;-;-;-;1
314600 Ouro Fino;-;-;1;-;-;-;1;-;-;-;-;-;-;2
314610 Ouro Preto;-;-;1;-;-;-;-;-;-;-;-;-;-;1
314710 Pará de Minas;-;-;-;-;-;-;-;-;-;-;-;-;1;1
314700 Paracatu;-;-;-;1;1;-;-;-;-;-;-;-;-;2
314730 Paraisópolis;-;-;-;-;1;1;-;-;-;-;-;-;-;2
314760 Passa Quatro;-;-;-;1;1;-;-;-;-;-;-;-;-;2
314790 Passos;-;-;1;2;-;2;-;-;-;-;-;-;-;5
314800 Patos de Minas;-;-;1;-;1;-;-;-;-;-;-;-;-;2
