DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;;;;
Casos Prováveis por Município infecção e Class. Final;;;;;;;;;;
Período:2015;;;;;;;;;;
Município infecção;Ign/Branco;Dengue Clássico;Dengue com complicações;Febre Hemorrágica do Dengue;Síndrome do Choque do Dengue;Dengue;Dengue com sinais de alarme;Dengue grave;Inconclusivo;Total
293360 Xique-Xique;-;-;-;-;-;2;-;-;-;2
310150 Além Paraíba;-;-;-;-;-;1;-;-;-;1
310160 Alfenas;-;-;-;-;-;4;-;-;-;4
310260 Andradas;-;-;-;-;-;2;-;-;-;2
310375 Araporã;-;-;-;-;-;1;-;-;-;1
310400 Araxá;-;-;-;-;-;1;-;-;-;1
310420 Arcos;-;1;-;-;-;1;-;-;-;2
310430 Areado;-;-;-;-;-;-;1;-;-;1
310490 Baependi;-;-;-;-;-;1;-;-;-;1
310560 Barbacena;-;-;-;-;-;1;-;-;-;1
310620 Belo Horizonte;-;-;-;-;-;18;2;-;-;20
310650 Berilo;-;1;-;-;-;-;-;-;-;1
310670 Betim;-;-;-;-;-;3;-;-;-;3
310710 Boa Esperança;-;-;-;-;-;1;-;-;-;1
310890 Brazópolis;-;-;-;-;-;1;-;-;-;1
310910 Bueno Brandão;-;-;-;-;-;1;-;-;-;1
310970 Cachoeira de Minas;-;1;-;-;-;-;-;-;-;1
311050 Camanducaia;-;-;-;-;-;2;-;-;-;2
311060 Cambuí;-;-;-;-;-;3;-;-;-;3
311070 Cambuquira;-;-;-;-;-;9;-;-;-;9
311130 Campo do Meio;-;-;-;-;-;1;-;-;-;1
311200 Candeias;-;-;-;-;-;1;-;-;-;1
311240 Capetinga;-;-;-;-;-;-;1;-;-;1
311400 Carmo da Mata;-;1;-;-;-;-;-;-;-;1
311430 Carmo do Paranaíba;-;-;-;-;-;1;-;-;-;1
311455 Carneirinho;-;-;-;-;-;3;-;-;-;3
311510 Cássia;-;-;-;-;-;2;1;-;-;3
311530 Cataguases;-;-;-;-;-;1;-;-;-;1
311640 Claraval;-;-;-;-;-;1;1;-;-;2
311730 Conceição das Alagoas;-;-;-;-;-;-;-;-;2;2
311770 Conceição do Rio Verde;-;-;-;-;-;1;-;-;-;1
311780 Conceição dos Ouros;-;-;-;-;-;4;-;-;-;4
311790 Congonhal;-;-;-;-;-;1;-;-;-;1
311860 Contagem;-;-;-;-;-;1;-;-;-;1
312120 Delfinópolis;-;-;-;-;-;5;1;-;-;6
312320 Dores do Indaiá;-;-;-;-;-;2;-;-;-;2
312410 Esmeraldas;-;-;-;-;-;1;-;-;-;1
312440 Espírito Santo do Dourado;-;-;-;-;-;2;-;-;-;2
312700 Fronteira;-;-;-;-;-;18;-;-;-;18
312710 Frutal;-;1;-;-;-;2;-;-;-;3
312738 Goianá;-;-;-;-;-;1;-;-;-;1
312740 Gonçalves;-;-;-;-;-;2;-;-;-;2
312870 Guaxupé;-;-;-;-;-;2;-;-;-;2
312970 Ibiraci;-;-;-;-;-;1;1;-;-;2
313010 Igarapé;-;-;-;-;-;1;-;-;-;1
313060 Inconfidentes;-;-;-;-;-;1;-;-;-;1
313230 Itaipé;-;-;-;-;-;1;-;-;-;1
313240 Itajubá;-;-;-;-;-;10;-;-;-;10
313310 Itanhandu;-;-;-;-;-;4;-;-;-;4
313360 Itapeva;-;-;-;-;-;1;-;-;-;1
313375 Itaú de Minas;-;-;-;-;-;1;-;-;-;1
313440 Iturama;-;-;-;-;-;2;-;-;-;2
313610 Joanésia;-;-;-;-;-;1;-;-;-;1
313670 Juiz de Fora;-;-;-;-;-;2;-;-;-;2
313720 Lagoa da Prata;-;-;-;-;-;1;1;-;-;2
313820 Lavras;-;-;-;-;-;5;-;-;-;5
313860 Lima Duarte;-;-;-;-;-;1;-;-;-;1
313862 Limeira do Oeste;-;-;-;-;-;2;-;-;-;2
313868 Luislândia;-;-;-;-;-;1;-;-;-;1
313900 Machado;-;-;-;-;-;3;-;-;-;3
314000 Mariana;-;-;-;-;-;1;-;-;-;1
314100 Mato Verde;-;-;-;-;-;1;-;-;-;1
314110 Matozinhos;-;-;-;-;-;1;-;-;-;1
314160 Mercês;-;-;-;-;-;1;-;-;-;1
314290 Monte Azul;-;-;-;-;-;1;-;-;-;1
314310 Monte Carmelo;-;-;-;-;-;1;-;-;-;1
314340 Monte Sião;-;-;-;-;-;5;1;-;-;6
314330 Montes Claros;-;-;-;-;-;1;-;-;-;1
314380 Munhoz;-;-;-;-;-;1;-;-;-;1
314390 Muriaé;-;-;-;-;-;2;-;-;-;2
