DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município infecção e Faixa Etária
Período:2016
"Município infecção";"Em branco/IGN";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total"
"355340 Tanabi";-;-;-;2;4;6;36;30;5;3;2;2;90
"355350 Tapiraí";-;-;-;-;-;-;1;-;-;-;-;-;1
"355360 Tapiratiba";-;-;-;-;-;-;-;-;1;-;-;-;1
"355365 Taquaral";-;-;-;-;-;-;2;-;-;-;-;-;2
"355370 Taquaritinga";1;7;31;50;103;142;590;482;89;43;54;8;1600
"355380 Taquarituba";-;-;-;-;1;-;-;-;-;-;-;-;1
"355390 Tarabai";-;-;-;-;1;-;1;2;-;-;-;-;4
"355400 Tatuí";-;-;2;2;3;7;45;29;5;7;3;2;105
"355410 Taubaté";1;59;121;127;194;273;1240;911;115;89;95;32;3257
"355430 Teodoro Sampaio";-;1;3;7;9;19;66;58;10;6;9;1;189
"355440 Terra Roxa";-;-;-;-;-;1;2;2;1;1;-;1;8
"355450 Tietê";-;3;1;1;2;6;19;25;3;-;2;2;64
"355465 Torre de Pedra";-;-;-;-;-;-;1;-;-;-;-;-;1
"355470 Torrinha";-;-;-;-;-;-;1;1;-;1;-;-;3
"355480 Tremembé";-;6;7;23;32;52;200;170;45;23;20;12;590
"355490 Três Fronteiras";-;1;-;3;3;3;8;11;3;3;-;-;35
"355495 Tuiuti";-;-;-;-;-;-;3;-;-;-;-;-;3
"355500 Tupã";-;2;2;3;5;10;37;31;5;3;7;-;105
"355510 Tupi Paulista";-;-;-;-;-;1;1;-;1;-;-;-;3
"355520 Turiúba";-;-;-;1;1;1;6;10;1;-;-;-;20
"355530 Turmalina";-;-;-;-;2;-;3;9;-;1;1;1;17
"355535 Ubarana";-;3;-;3;9;10;33;30;2;4;4;1;99
"355540 Ubatuba";1;2;-;3;1;6;29;24;4;2;-;-;72
"355560 Uchoa";-;-;6;7;10;15;51;51;10;8;6;3;167
"355570 União Paulista";-;-;-;1;1;-;2;3;-;-;-;-;7
"355580 Urânia";-;1;1;4;5;3;19;38;5;9;2;5;92
